trmt,uniq_square,totalba,damagba,pctbadam,totstems,damstems,pctstemdam,sumbent,sumsnap,sumtipup,pctbent,pctsnap,pcttipup,sumseverE,sumseverM,sumseverP,sumseverS,pctseverE,pctseverM,pctseverP,pctseverS,prpestemdam,litustemdam,prsestemdam,belestemdam,prpestem,litustem,prsestem,belestem,pctprpedam,pctlitudam,pctprsedam,pctbeledam,prpedamba,litudamba,prsedamba,beledamba,prpeba,lituba,prseba,beleba,pctprpebadam,pctlitubadam,pctprsebadam,pctbelebadam
N,1_1_1_N,0.2034,0.1133,55.70304818,30,15,50,6,1,8,40,6.666666667,53.33333333,2,1,9,3,13.33333333,6.666666667,60,20,12,1,0,0,26,0,0,0,46.15384615,0,0,0,0.1053,0.0019,0,0,0.1948,0,0,0,54.05544148,0,0,0
N,1_1_10_N,0.1905,0.0423,22.20472441,61,10,16.39344262,10,0,0,100,0,0,3,3,0,4,30,30,0,40,4,3,0,2,26,15,2,7,15.38461538,20,0,28.57142857,0.0303,0.0063,0,0.0045,0.1392,0.023,0.0012,0.0102,21.76724138,27.39130435,0,44.11764706
N,1_1_11_N,0.1573,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,12,10,0,0,0,0,0,0,0,0,0.0793,0.0047,0.0594,0.0133,0,0,0,0
N,1_1_12_N,0.1343,0.0308,22.93373045,32,3,9.375,2,0,1,66.66666667,0,33.33333333,1,0,2,0,33.33333333,0,66.66666667,0,2,0,0,0,9,0,0,6,22.22222222,0,0,0,0.0205,0,0,0,0.0804,0,0,0.0076,25.49751244,0,0,0
N,1_1_7_N,0.1332,0.0685,51.42642643,26,8,30.76923077,7,0,1,87.5,0,12.5,2,0,2,4,25,0,25,50,5,1,1,1,14,3,1,7,35.71428571,33.33333333,100,14.28571429,0.064,9.00E-04,0.0011,0.0025,0.1212,0.0024,6.00E-04,0.0084,52.80528053,37.5,100,29.76190476
N,1_1_8_N,0.1886,0.0381,20.20148462,47,5,10.63829787,5,0,0,100,0,0,0,2,1,2,0,40,20,40,4,0,0,0,29,2,5,7,13.79310345,0,0,0,0.036,0,0,0,0.168,0.002,0.0058,0.0064,21.42857143,0,0,0
NL,1_2_1_NL,0.163,0.057,34.96932515,25,6,24,4,0,2,66.66666667,0,33.33333333,2,1,1,2,33.33333333,16.66666667,16.66666667,33.33333333,6,0,0,0,12,4,7,0,50,0,0,0,0.057,0,0,0,0.1185,0.0046,0.0325,0,48.10126582,0,0,0
NL,1_2_3_NL,0.1647,0.1314,79.78142077,37,21,56.75675676,11,5,5,52.38095238,23.80952381,23.80952381,2,6,11,2,9.523809524,28.57142857,52.38095238,9.523809524,16,4,0,1,18,13,0,0,88.88888889,30.76923077,0,0,0.1232,0.0046,0,0.0036,0.1437,0.0133,0,0,85.73416841,34.58646617,0,0
NL,1_2_4_NL,0.1963,0.0996,50.73866531,44,17,38.63636364,6,4,7,35.29411765,23.52941176,41.17647059,0,2,9,6,0,11.76470588,52.94117647,35.29411765,11,2,0,3,27,10,0,4,40.74074074,20,0,75,0.0908,0.0019,0,0.006,0.1784,0.0118,0,0.0036,50.89686099,16.10169492,0,100
NL,1_2_5_NL,0.1812,0.0346,19.09492274,42,7,16.66666667,1,2,4,14.28571429,28.57142857,57.14285714,1,0,4,2,14.28571429,0,57.14285714,28.57142857,5,1,0,0,15,6,0,8,33.33333333,16.66666667,0,0,0.0321,0.0015,0,0,0.153,0.0067,0,0.0092,20.98039216,22.3880597,0,0
NL,1_2_8_NL,0.1668,0.035,20.98321343,39,10,25.64102564,8,2,0,80,20,0,1,4,2,3,10,40,20,30,8,0,0,1,28,5,0,2,28.57142857,0,0,50,0.0324,0,0,8.00E-04,0.1558,0.0049,0,0.0021,20.79589217,0,0,38.0952381
NL,1_2_9_NL,0.1602,0.0604,37.70287141,40,10,25,5,2,3,50,20,30,2,1,4,3,20,10,40,30,8,2,0,0,23,10,0,4,34.7826087,20,0,0,0.0589,0.0015,0,0,0.1425,0.0108,0,0.0037,41.33333333,13.88888889,0,0
Ref,1_3_11_Ref,0.2188,0.0699,31.94698355,65,15,23.07692308,8,3,4,53.33333333,20,26.66666667,5,2,5,3,33.33333333,13.33333333,33.33333333,20,10,3,0,2,34,8,0,18,29.41176471,37.5,0,11.11111111,0.0639,0.0023,0,0.0037,0.1625,0.0078,0,0.0448,39.32307692,29.48717949,0,8.258928571
Ref,1_3_2_Ref,0.1507,0.056,37.15992037,59,17,28.81355932,13,0,4,76.47058824,0,23.52941176,3,4,7,3,17.64705882,23.52941176,41.17647059,17.64705882,9,6,0,2,15,24,0,17,60,25,0,11.76470588,0.043,0.0052,0,0.0078,0.0695,0.029,0,0.0431,61.8705036,17.93103448,0,18.0974478
Ref,1_3_5_Ref,0.1779,0.0726,40.80944351,71,25,35.21126761,10,3,12,40,12,48,5,9,2,9,20,36,8,36,15,9,0,1,22,29,1,19,68.18181818,31.03448276,0,5.263157895,0.0589,0.0128,0,9.00E-04,0.0875,0.0461,0.0014,0.0429,67.31428571,27.76572668,0,2.097902098
