block,trmt,plot,square,area_m2,area_ha,date,spp,tree,branch,status,dbh_cm,ba_m2,baperham2,uniq_square,uniq_plot
1,Ref,3,2,80.43,0.008043,6/16/09,BEAL,25,1,L,5.6,0.0025,0.306222583,1_3_2_Ref,1_3_Ref
1,Ref,3,2,80.43,0.008043,6/16/09,BELE,5,1,L,5.5,0.0024,0.295383709,1_3_2_Ref,1_3_Ref
1,Ref,3,2,80.43,0.008043,6/16/09,BELE,6,1,L,3.4,0.0009,0.112880518,1_3_2_Ref,1_3_Ref
1,Ref,3,2,80.43,0.008043,6/16/09,BELE,8,1,L,4.3,0.0015,0.180550241,1_3_2_Ref,1_3_Ref
1,Ref,3,2,80.43,0.008043,6/16/09,BELE,9,1,L,7.9,0.0049,0.609418093,1_3_2_Ref,1_3_Ref
1,Ref,3,2,80.43,0.008043,6/16/09,BELE,12,1,L,7.8,0.0048,0.594087434,1_3_2_Ref,1_3_Ref
1,Ref,3,2,80.43,0.008043,6/16/09,BELE,15,1,L,5.6,0.0025,0.306222583,1_3_2_Ref,1_3_Ref
1,Ref,3,2,80.43,0.008043,6/16/09,BELE,22,1,L,5.5,0.0024,0.295383709,1_3_2_Ref,1_3_Ref
1,Ref,3,2,80.43,0.008043,6/16/09,BELE,24,1,L,6.45,0.0033,0.406238042,1_3_2_Ref,1_3_Ref
1,Ref,3,2,80.43,0.008043,6/16/09,BELE,26,1,L,3.4,0.0009,0.112880518,1_3_2_Ref,1_3_Ref
1,Ref,3,2,80.43,0.008043,6/16/09,BELE,29,1,L,6.9,0.0037,0.464899782,1_3_2_Ref,1_3_Ref
1,Ref,3,2,80.43,0.008043,6/16/09,BELE,30,1,L,6.1,0.0029,0.363346375,1_3_2_Ref,1_3_Ref
1,Ref,3,2,80.43,0.008043,6/16/09,BELE,39,1,L,4.95,0.0019,0.239260805,1_3_2_Ref,1_3_Ref
1,Ref,3,2,80.43,0.008043,6/16/09,BELE,43,1,L,4.4,0.0015,0.189045574,1_3_2_Ref,1_3_Ref
1,Ref,3,2,80.43,0.008043,6/16/09,BELE,44,1,L,2.9,0.0007,0.082121554,1_3_2_Ref,1_3_Ref
1,Ref,3,2,80.43,0.008043,6/16/09,BELE,49,1,L,5.6,0.0025,0.306222583,1_3_2_Ref,1_3_Ref
