block,plot,square,spp,status,damagetype,degree,damagecat,damagecont,dbh_cm,ba_m2,trmt,uniq_square,uniq_plot
1,1,1,ARSP,L,B,S,BS,3,5.15,0.0021,N,1_1_1_N,1_1_N
1,1,1,LITU,L,B,M,BM,3,4.91,0.0019,N,1_1_1_N,1_1_N
1,1,1,PRPE,L,B,S,BS,3,15.35,0.0185,N,1_1_1_N,1_1_N
1,1,1,PRPE,D,T,S,TS,4,11.49,0.0104,N,1_1_1_N,1_1_N
1,1,1,PRPE,L,S,P,SP,6,9.73,0.0074,N,1_1_1_N,1_1_N
1,1,1,ARSP,L,T,P,TP,7,7.1,0.004,N,1_1_1_N,1_1_N
1,1,1,PRPE,D,B,E,BE,7,9.82,0.0076,N,1_1_1_N,1_1_N
1,1,1,PRPE,L,B,E,BE,7,7.13,0.004,N,1_1_1_N,1_1_N
1,1,1,PRPE,L,B,P,BP,7,8.1,0.0052,N,1_1_1_N,1_1_N
1,1,1,PRPE,D,T,P,TP,7,5,0.002,N,1_1_1_N,1_1_N
1,1,1,PRPE,D,T,P,TP,7,12.68,0.0126,N,1_1_1_N,1_1_N
1,1,1,PRPE,D,T,P,TP,7,9.49,0.0071,N,1_1_1_N,1_1_N
1,1,1,PRPE,D,T,P,TP,7,12.5,0.0123,N,1_1_1_N,1_1_N
1,1,1,PRPE,D,T,P,TP,7,12.59,0.0124,N,1_1_1_N,1_1_N
1,1,1,PRPE,L,T,P,TP,7,8.61,0.0058,N,1_1_1_N,1_1_N
1,1,7,LITU,L,B,S,BS,3,3.45,0.0009,N,1_1_7_N,1_1_N
1,1,7,PRPE,L,B,S,BS,3,9.39,0.0069,N,1_1_7_N,1_1_N
1,1,7,PRPE,L,B,S,BS,3,16.95,0.0226,N,1_1_7_N,1_1_N
1,1,7,PRPE,L,B,S,BS,3,14.47,0.0164,N,1_1_7_N,1_1_N
1,1,7,BELE,L,B,E,BE,7,5.69,0.0025,N,1_1_7_N,1_1_N
1,1,7,PRPE,D,T,P,TP,7,11.06,0.0096,N,1_1_7_N,1_1_N
1,1,7,PRPE,D,B,E,BE,7,10.4,0.0085,N,1_1_7_N,1_1_N
1,1,7,PRSE,L,B,P,BP,7,3.66,0.0011,N,1_1_7_N,1_1_N
1,1,8,ARSP,L,B,M,BM,3,5.17,0.0021,N,1_1_8_N,1_1_N
1,1,8,PRPE,L,B,S,BS,3,14.61,0.0168,N,1_1_8_N,1_1_N
1,1,8,PRPE,D,B,S,BS,3,4.91,0.0019,N,1_1_8_N,1_1_N
1,1,8,PRPE,L,B,M,BM,3,14.25,0.0159,N,1_1_8_N,1_1_N
1,1,8,PRPE,D,B,P,BP,7,4.19,0.0014,N,1_1_8_N,1_1_N
1,1,10,BELE,L,B,S,BS,3,6.61,0.0034,N,1_1_10_N,1_1_N
1,1,10,LITU,L,B,S,BS,3,7.45,0.0044,N,1_1_10_N,1_1_N
1,1,10,LITU,L,B,S,BS,3,3.4,0.0009,N,1_1_10_N,1_1_N
1,1,10,LITU,L,B,M,BM,3,3.56,0.001,N,1_1_10_N,1_1_N
1,1,10,PRPE,L,B,S,BS,3,10.45,0.0086,N,1_1_10_N,1_1_N
1,1,10,PRPE,D,B,M,BM,3,9.57,0.0072,N,1_1_10_N,1_1_N
1,1,10,PRPE,L,B,M,BM,3,11.01,0.0095,N,1_1_10_N,1_1_N
1,1,10,ACRU,L,B,E,BE,7,3.89,0.0012,N,1_1_10_N,1_1_N
1,1,10,BELE,D,B,E,BE,7,3.81,0.0011,N,1_1_10_N,1_1_N
1,1,10,PRPE,D,B,E,BE,7,8,0.005,N,1_1_10_N,1_1_N
1,1,12,MAFR,L,B,P,BP,7,11.44,0.0103,N,1_1_12_N,1_1_N
1,1,12,PRPE,L,B,E,BE,7,12.31,0.0119,N,1_1_12_N,1_1_N
1,1,12,PRPE,D,T,P,TP,7,10.49,0.0086,N,1_1_12_N,1_1_N
1,2,1,PRPE,L,B,M,BM,3,9.43,0.007,NL,1_2_1_NL,1_2_NL
1,2,1,PRPE,L,B,S,BS,3,8.2,0.0053,NL,1_2_1_NL,1_2_NL
1,2,1,PRPE,L,B,S,BS,3,13.75,0.0148,NL,1_2_1_NL,1_2_NL
1,2,1,PRPE,D,T,E,TE,7,10.84,0.0092,NL,1_2_1_NL,1_2_NL
1,2,1,PRPE,D,T,P,TP,7,11.15,0.0098,NL,1_2_1_NL,1_2_NL
1,2,1,PRPE,D,B,E,BE,7,11.8,0.0109,NL,1_2_1_NL,1_2_NL
1,2,3,LITU,L,B,M,BM,3,2.87,0.0006,NL,1_2_3_NL,1_2_NL
1,2,3,LITU,L,B,M,BM,3,4.01,0.0013,NL,1_2_3_NL,1_2_NL
1,2,3,LITU,L,B,M,BM,3,4.39,0.0015,NL,1_2_3_NL,1_2_NL
1,2,3,PRPE,L,B,S,BS,3,15.27,0.0183,NL,1_2_3_NL,1_2_NL
1,2,3,PRPE,D,B,M,BM,3,7.8,0.0048,NL,1_2_3_NL,1_2_NL
1,2,3,PRPE,L,B,S,BS,3,13.12,0.0135,NL,1_2_3_NL,1_2_NL
1,2,3,PRPE,L,B,M,BM,3,7.78,0.0048,NL,1_2_3_NL,1_2_NL
1,2,3,PRPE,L,B,M,BM,3,9.65,0.0073,NL,1_2_3_NL,1_2_NL
1,2,3,BELE,D,S,P,SP,6,6.81,0.0036,NL,1_2_3_NL,1_2_NL
1,2,3,PRPE,D,S,P,SP,6,5.89,0.0027,NL,1_2_3_NL,1_2_NL
1,2,3,PRPE,D,S,P,SP,6,14.99,0.0176,NL,1_2_3_NL,1_2_NL
